Schedule,FPR,TPR
Convex Only,0.9797979797979799,0.9885416666666667
Convex Only,0.98989898989899,0.9885416666666667
Convex Only,1.0,1.0
Multistage_1,0.0,0.12185367877558546
Multistage_1,0.010101010101010102,0.1230847393816461
Multistage_1,0.020202020202020204,0.1243157999877067
Multistage_1,0.030303030303030304,0.17299506342294896
Multistage_1,0.04040404040404041,0.17422612402900958
Multistage_1,0.05050505050505051,0.191283797538296
Multistage_1,0.06060606060606061,0.20760324198274044
Multistage_1,0.07070707070707072,0.21367436992886843
Multistage_1,0.08080808080808081,0.22470130595580443
Multistage_1,0.09090909090909091,0.23140931744322768
Multistage_1,0.10101010101010102,0.23252871029649147
Multistage_1,0.11111111111111112,0.2343581607146516
Multistage_1,0.12121212121212122,0.24121707241227294
Multistage_1,0.13131313131313133,0.2497378557589361
Multistage_1,0.14141414141414144,0.2521440196707818
Multistage_1,0.15151515151515152,0.27938062790347784
Multistage_1,0.16161616161616163,0.2848170948456266
Multistage_1,0.17171717171717174,0.2931611877430687
Multistage_1,0.18181818181818182,0.3207551173004005
Multistage_1,0.19191919191919193,0.32617010830017107
Multistage_1,0.20202020202020204,0.3333000668118732
Multistage_1,0.21212121212121213,0.3359409446339815
Multistage_1,0.22222222222222224,0.346856630590293
Multistage_1,0.23232323232323235,0.36412080767393484
Multistage_1,0.24242424242424243,0.3820654051639869
Multistage_1,0.25252525252525254,0.3820654051639869
Multistage_1,0.26262626262626265,0.39540173564046893
Multistage_1,0.27272727272727276,0.4027093445579264
Multistage_1,0.2828282828282829,0.4129190808093292
Multistage_1,0.29292929292929293,0.42020564595574283
Multistage_1,0.30303030303030304,0.4298315582275999
Multistage_1,0.31313131313131315,0.4426805434752037
Multistage_1,0.32323232323232326,0.45162682821805705
Multistage_1,0.33333333333333337,0.4629124788419429
Multistage_1,0.3434343434343435,0.46665208714607953
Multistage_1,0.3535353535353536,0.47333287192080464
Multistage_1,0.36363636363636365,0.48981352705689724
Multistage_1,0.37373737373737376,0.5048708580423928
